index,Sub-nation,Maize,Rice,Soybean,Wheat,GTAP7,SRES_4reg,SRES_11reg,RECCAP1,Raupach_2007,Houghton_2001,IMACLIM,Kyoto,RCP_5reg,RCP_10reg,Houghton_2017,AR6_5reg,AR6_10reg,AR6_22reg,Finest,MESSAGE
101,Georgia,,,,,Ethiopia,,,,,,,,,,,,,,,
102,Germany,,,,,Madagascar,,,,,,,,,,,,,,,
103,Ghana,,,,,Malawi,,,,,,,,,,,,,,,
104,Greece,,,,,Mauritius,,,,,,,,,,,,,,,
105,Greenland,,,,,Mozambique,,,,,,,,,,,,,,,
106,Grenada,,,,,Tanzania,,,,,,,,,,,,,,,
107,Guadeloupe,,,,,Uganda,,,,,,,,,,,,,,,
108,Guam,,,,,Zambia,,,,,,,,,,,,,,,
109,Guatemala,,,,,Zimbabwe,,,,,,,,,,,,,,,
110,Guernsey,,,,,Rest of Eastern Africa,,,,,,,,,,,,,,,
111,Guinea,,,,,Botswana,,,,,,,,,,,,,,,
112,Guinea-Bissau,,,,,South Africa,,,,,,,,,,,,,,,
113,Guyana,,,,,Rest of South African Customs Union,,,,,,,,,,,,,,,
114,Haiti,,,,,,,,,,,,,,,,,,,,
115,Heard Island and McDonald Islands,,,,,,,,,,,,,,,,,,,,
116,Honduras,,,,,,,,,,,,,,,,,,,,
117,Hong Kong,,,,,,,,,,,,,,,,,,,,
118,Hungary,,,,,,,,,,,,,,,,,,,,
119,Iceland,,,,,,,,,,,,,,,,,,,,
120,India,,,,,,,,,,,,,,,,,,,,
121,Indonesia,,,,,,,,,,,,,,,,,,,,
122,Iran,,,,,,,,,,,,,,,,,,,,
123,Iraq,,,,,,,,,,,,,,,,,,,,
124,Ireland,,,,,,,,,,,,,,,,,,,,
125,Isle of Man,,,,,,,,,,,,,,,,,,,,
126,Israel,,,,,,,,,,,,,,,,,,,,
127,Italy,,,,,,,,,,,,,,,,,,,,
128,Ivory Coast,,,,,,,,,,,,,,,,,,,,
129,Jamaica,,,,,,,,,,,,,,,,,,,,
130,Japan,,,,,,,,,,,,,,,,,,,,
131,Jersey,,,,,,,,,,,,,,,,,,,,
132,Jordan,,,,,,,,,,,,,,,,,,,,
133,Kazakhstan,,,,,,,,,,,,,,,,,,,,
134,Kenya,,,,,,,,,,,,,,,,,,,,
135,Kiribati,,,,,,,,,,,,,,,,,,,,
136,Kosovo,,,,,,,,,,,,,,,,,,,,
137,Kuwait,,,,,,,,,,,,,,,,,,,,
138,Kyrgyzstan,,,,,,,,,,,,,,,,,,,,
139,Laos,,,,,,,,,,,,,,,,,,,,
140,Latvia,,,,,,,,,,,,,,,,,,,,
141,Lebanon,,,,,,,,,,,,,,,,,,,,
142,Lesotho,,,,,,,,,,,,,,,,,,,,
143,Liberia,,,,,,,,,,,,,,,,,,,,
144,Libya,,,,,,,,,,,,,,,,,,,,
145,Liechtenstein,,,,,,,,,,,,,,,,,,,,
146,Lithuania,,,,,,,,,,,,,,,,,,,,
147,Luxembourg,,,,,,,,,,,,,,,,,,,,
148,Macau,,,,,,,,,,,,,,,,,,,,
149,Madagascar,,,,,,,,,,,,,,,,,,,,
150,Malawi,,,,,,,,,,,,,,,,,,,,
151,Malaysia,,,,,,,,,,,,,,,,,,,,
152,Maldives,,,,,,,,,,,,,,,,,,,,
153,Mali,,,,,,,,,,,,,,,,,,,,
154,Malta,,,,,,,,,,,,,,,,,,,,
155,Marshall Islands,,,,,,,,,,,,,,,,,,,,
156,Martinique,,,,,,,,,,,,,,,,,,,,
157,Mauritania,,,,,,,,,,,,,,,,,,,,
158,Mauritius,,,,,,,,,,,,,,,,,,,,
159,Mayotte,,,,,,,,,,,,,,,,,,,,
160,Mexico,,,,,,,,,,,,,,,,,,,,
161,Moldova,,,,,,,,,,,,,,,,,,,,
162,Monaco,,,,,,,,,,,,,,,,,,,,
163,Mongolia,,,,,,,,,,,,,,,,,,,,
164,Montenegro,,,,,,,,,,,,,,,,,,,,
165,Montserrat,,,,,,,,,,,,,,,,,,,,
166,Morocco,,,,,,,,,,,,,,,,,,,,
167,Mozambique,,,,,,,,,,,,,,,,,,,,
168,Myanmar,,,,,,,,,,,,,,,,,,,,
169,Namibia,,,,,,,,,,,,,,,,,,,,
170,Nauru,,,,,,,,,,,,,,,,,,,,
171,Nepal,,,,,,,,,,,,,,,,,,,,
172,Netherlands,,,,,,,,,,,,,,,,,,,,
173,New Caledonia,,,,,,,,,,,,,,,,,,,,
174,New Zealand,,,,,,,,,,,,,,,,,,,,
175,Nicaragua,,,,,,,,,,,,,,,,,,,,
176,Niger,,,,,,,,,,,,,,,,,,,,
177,Nigeria,,,,,,,,,,,,,,,,,,,,
178,Niue,,,,,,,,,,,,,,,,,,,,
179,Norfolk Island,,,,,,,,,,,,,,,,,,,,
180,North Korea,,,,,,,,,,,,,,,,,,,,
181,North Macedonia,,,,,,,,,,,,,,,,,,,,
182,Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,
